Number,Lat,Lon,Landcover_classification,Corrected_Peat_thickness_m,Measured_Carbon_density_Mg_ha
536,-0.19601,18.86289,Savanna,0,NA
537,-0.21477,18.83925,Savanna,0,NA
538,-0.2214,18.85208,Non-peat forming forest,0,NA
539,-0.2223,18.85,Non-peat forming forest,0,NA
540,-0.22355,18.84815,Non-peat forming forest,0,NA
541,-0.22477,18.84632,Non-peat forming forest,0,NA
542,-0.22602,18.84437,Non-peat forming forest,0,NA
543,-0.22701,18.84238,Non-peat forming forest,0,NA
544,-0.22837,18.84056,Non-peat forming forest,0,NA
545,-0.22939,18.83873,Non-peat forming forest,0,NA
546,-0.23078,18.83689,Non-peat forming forest,0,NA
547,-0.23147,18.83466,Non-peat forming forest,0,NA
548,-0.23309,18.8329,Non-peat forming forest,0,NA
549,-0.23443,18.83132,Non-peat forming forest,0,NA
550,-0.23537,18.82909,Non-peat forming forest,0,NA
551,-0.21295,18.8407,Savanna,0,NA
552,1.45379,18.89903,Non-peat forming forest,0,NA
553,1.45543,18.89747,Savanna,0,NA
554,1.45697,18.89583,Savanna,0,NA
555,1.45842,18.89411,Savanna,0,NA
556,1.46013,18.89266,Savanna,0,NA
557,1.46226,18.8919,Non-peat forming forest,0,NA
558,1.46388,18.89031,Non-peat forming forest,0,NA
559,1.46576,18.8891,Non-peat forming forest,0,NA
560,1.46741,18.88755,Non-peat forming forest,0,NA
561,1.46912,18.88611,Non-peat forming forest,0.05,NA
562,1.47085,18.88469,Non-peat forming forest,0,NA
563,1.47252,18.88326,Non-peat forming forest,0.01,NA
564,1.47422,18.8818,Hardwood peat swamp forest,0.3,56
565,1.47597,18.88043,Non-peat forming forest,0.19,NA
566,1.47762,18.87893,Hardwood peat swamp forest,0.32,NA
567,1.4795,18.87769,Hardwood peat swamp forest,0.5,NA
568,1.48116,18.87621,Hardwood peat swamp forest,0.4,512
569,1.48273,18.87463,Hardwood peat swamp forest,0.6,NA
570,1.48461,18.87325,Hardwood peat swamp forest,1.43,NA
571,1.48631,18.8718,Hardwood peat swamp forest,0.93,NA
572,1.48816,18.87047,Hardwood peat swamp forest,0.7,867
573,1.48988,18.86894,Hardwood peat swamp forest,0.88,NA
574,1.49163,18.86753,Hardwood peat swamp forest,1.28,NA
575,1.49333,18.86608,Hardwood peat swamp forest,0.88,NA
576,1.49505,18.86459,Hardwood peat swamp forest,0.5,407
577,1.49687,18.8632,Hardwood peat swamp forest,1.46,NA
578,1.49858,18.86173,Hardwood peat swamp forest,0.91,NA
579,1.50045,18.86037,Hardwood peat swamp forest,1.73,NA
580,1.50223,18.859,Hardwood peat swamp forest,1.4,"2,217"
581,1.50414,18.85771,Hardwood peat swamp forest,2.77,NA
582,1.50592,18.85632,Hardwood peat swamp forest,1.72,NA
583,1.50767,18.85494,Hardwood peat swamp forest,1.95,NA
584,1.50933,18.8534,Hardwood peat swamp forest,1.6,NA
585,1.51109,18.85201,Hardwood peat swamp forest,1.77,NA
586,1.51267,18.85036,Hardwood peat swamp forest,1.6,NA
587,1.51436,18.84885,Hardwood peat swamp forest,2.01,NA
588,1.51616,18.84751,Hardwood peat swamp forest,2.3,"2,187"
589,1.51787,18.84609,Palm peat swamp forest,1.81,NA
590,1.51946,18.84455,Hardwood peat swamp forest,1.14,NA
591,1.52112,18.84307,Hardwood peat swamp forest,2.14,NA
592,1.52295,18.84169,Hardwood peat swamp forest,1.9,NA
